Sample,Density,Hours,Mesocosm,TotalBio,AvBio,stPCR
12,1,4,2,2.02,2.02,0
13,1,4,3,1.34,1.34,1
14,1,4,4,1.66,1.66,1
15,5,4,5,6.92,1.384,1
16,5,4,6,5.54,1.108,1
17,5,4,7,6.31,1.262,1
18,20,4,8,19.81,0.9905,1
19,20,4,9,21.85,1.0925,1
20,20,4,10,19.73,0.9865,1
22,1,8,2,2.02,2.02,0
23,1,8,3,1.34,1.34,0
24,1,8,4,1.66,1.66,1
25,5,8,5,6.92,1.384,1
26,5,8,6,5.54,1.108,1
27,5,8,7,6.31,1.262,1
28,20,8,8,19.81,0.9905,1
29,20,8,9,21.85,1.0925,1
30,20,8,10,19.73,0.9865,1
32,1,24,2,2.02,2.02,0
33,1,24,3,1.34,1.34,0
34,1,24,4,1.66,1.66,1
35,5,24,5,6.92,1.384,1
36,5,24,6,5.54,1.108,1
37,5,24,7,6.31,1.262,1
38,20,24,8,19.81,0.9905,1
39,20,24,9,21.85,1.0925,1
40,20,24,10,19.73,0.9865,1
42,1,168,2,2.02,2.02,1
43,1,168,3,1.34,1.34,1
44,1,168,4,1.66,1.66,1
45,5,168,5,6.92,1.384,1
46,5,168,6,5.54,1.108,1
47,5,168,7,6.31,1.262,1
48,20,168,8,19.81,0.9905,0
49,20,168,9,21.85,1.0925,1
50,20,168,10,19.73,0.9865,1
52,1,360,2,2.02,2.02,0
53,1,360,3,1.34,1.34,0
54,1,360,4,1.66,1.66,1
55,5,360,5,6.92,1.384,1
56,5,360,6,5.54,1.108,0
57,5,360,7,6.31,1.262,0
58,20,360,8,19.81,0.9905,1
59,20,360,9,21.85,1.0925,1
60,20,360,10,19.73,0.9865,1
62,1,504,2,2.02,2.02,1
63,1,504,3,1.34,1.34,0
64,1,504,4,1.66,1.66,1
65,5,504,5,6.92,1.384,0
66,5,504,6,5.54,1.108,1
67,5,504,7,6.31,1.262,0
68,20,504,8,19.81,0.9905,1
69,20,504,9,21.85,1.0925,1
70,20,504,10,19.73,0.9865,1
